goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkGoPool/Sleep=001ms/Concurrency=1-2       	 1000000	       840.4 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=1-2       	 1000000	       851.7 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=1-2       	 1000000	       775.5 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=10-2      	 1000000	       869.9 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=10-2      	 1000000	       878.9 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=10-2      	 1000000	       852.8 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=10-2      	 1000000	       866.0 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=10-2      	 1000000	       795.5 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=50-2      	 1000000	       886.0 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=50-2      	 1000000	       836.3 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=50-2      	 1000000	       795.7 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=50-2      	 1000000	      1048 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=50-2      	 1000000	       875.2 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=100-2     	 1000000	       955.5 ns/op	     104 B/op	       1 allocs/op
BenchmarkGoPool/Sleep=001ms/Concurrency=100-2     	 1000000	       832.2 ns/op	     104 B/op	       1 allocs/op
