goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-expression-evaluation
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkOtto/Simple/Evaluate-2        	   10000	       323.4 ns/op	     240 B/op	       4 allocs/op
BenchmarkOtto/Simple/Evaluate-2        	   10000	       319.5 ns/op	     240 B/op	       4 allocs/op
BenchmarkOtto/Complex/Compile-2        	   10000	      4296 ns/op	    2464 B/op	      58 allocs/op
BenchmarkOtto/Complex/Compile-2        	   10000	      4289 ns/op	    2464 B/op	      58 allocs/op
BenchmarkOtto/Complex/Compile-2        	   10000	      4699 ns/op	    2464 B/op	      58 allocs/op
BenchmarkOtto/Complex/Compile-2        	   10000	      4290 ns/op	    2464 B/op	      58 allocs/op
BenchmarkOtto/Complex/Compile-2        	   10000	      4865 ns/op	    2464 B/op	      58 allocs/op
BenchmarkOtto/Complex/Evaluate-2       	   10000	       942.9 ns/op	     528 B/op	      13 allocs/op
BenchmarkOtto/Complex/Evaluate-2       	   10000	      1011 ns/op	     528 B/op	      13 allocs/op
BenchmarkOtto/Complex/Evaluate-2       	   10000	       881.7 ns/op	     528 B/op	      13 allocs/op
BenchmarkOtto/Complex/Evaluate-2       	   10000	       973.0 ns/op	     528 B/op	      13 allocs/op
BenchmarkOtto/Complex/Evaluate-2       	   10000	       855.1 ns/op	     528 B/op	      13 allocs/op
BenchmarkStarlark/Simple/Compile-2     	   10000	       985.8 ns/op	     664 B/op	      14 allocs/op
BenchmarkStarlark/Simple/Compile-2     	   10000	      2067 ns/op	     664 B/op	      14 allocs/op
BenchmarkStarlark/Simple/Compile-2     	   10000	       941.6 ns/op	     664 B/op	      14 allocs/op
BenchmarkStarlark/Simple/Compile-2     	   10000	      1041 ns/op	     664 B/op	      14 allocs/op
BenchmarkStarlark/Simple/Compile-2     	   10000	       967.8 ns/op	     664 B/op	      14 allocs/op
BenchmarkStarlark/Simple/Evaluate-2    	   10000	      1849 ns/op	    1936 B/op	      34 allocs/op
BenchmarkStarlark/Simple/Evaluate-2    	   10000	      1748 ns/op	    1936 B/op	      34 allocs/op
BenchmarkStarlark/Simple/Evaluate-2    	   10000	      1758 ns/op	    1936 B/op	      34 allocs/op
BenchmarkStarlark/Simple/Evaluate-2    	   10000	      2040 ns/op	    1936 B/op	      34 allocs/op
BenchmarkStarlark/Simple/Evaluate-2    	   10000	      1798 ns/op	    1936 B/op	      34 allocs/op
BenchmarkStarlark/Complex/Compile-2    	   10000	      4402 ns/op	    2232 B/op	      58 allocs/op
BenchmarkStarlark/Complex/Compile-2    	   10000	      4454 ns/op	    2232 B/op	      58 allocs/op
BenchmarkStarlark/Complex/Compile-2    	   10000	      4491 ns/op	    2232 B/op	      58 allocs/op
BenchmarkStarlark/Complex/Compile-2    	   10000	      4472 ns/op	    2232 B/op	      58 allocs/op
BenchmarkStarlark/Complex/Compile-2    	   10000	      4463 ns/op	    2232 B/op	      58 allocs/op
BenchmarkStarlark/Complex/Evaluate-2   	   10000	      5208 ns/op	    4224 B/op	      80 allocs/op
BenchmarkStarlark/Complex/Evaluate-2   	   10000	      4908 ns/op	    4224 B/op	      80 allocs/op
BenchmarkStarlark/Complex/Evaluate-2   	   10000	      4953 ns/op	    4224 B/op	      80 allocs/op
BenchmarkStarlark/Complex/Evaluate-2   	   10000	      5094 ns/op	    4224 B/op	      80 allocs/op
BenchmarkStarlark/Complex/Evaluate-2   	   10000	      5116 ns/op	    4224 B/op	      80 allocs/op
BenchmarkTengo/Simple/Compile-2        	   10000	     55455 ns/op	  121241 B/op	     159 allocs/op
BenchmarkTengo/Simple/Compile-2        	   10000	     54787 ns/op	  121239 B/op	     159 allocs/op
BenchmarkTengo/Simple/Compile-2        	   10000	     56011 ns/op	  121238 B/op	     159 allocs/op
BenchmarkTengo/Simple/Compile-2        	   10000	     58947 ns/op	  121243 B/op	     159 allocs/op
BenchmarkTengo/Simple/Compile-2        	   10000	     53660 ns/op	  121242 B/op	     159 allocs/op
BenchmarkTengo/Simple/Evaluate-2       	   10000	        33.05 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Simple/Evaluate-2       	   10000	        33.78 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Simple/Evaluate-2       	   10000	        43.39 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Simple/Evaluate-2       	   10000	        36.39 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Simple/Evaluate-2       	   10000	        35.29 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Complex/Compile-2       	   10000	     59382 ns/op	  123903 B/op	     236 allocs/op
BenchmarkTengo/Complex/Compile-2       	   10000	     61119 ns/op	  123904 B/op	     236 allocs/op
BenchmarkTengo/Complex/Compile-2       	   10000	     66536 ns/op	  123907 B/op	     236 allocs/op
BenchmarkTengo/Complex/Compile-2       	   10000	     61854 ns/op	  123905 B/op	     236 allocs/op
BenchmarkTengo/Complex/Compile-2       	   10000	     63497 ns/op	  123907 B/op	     236 allocs/op
BenchmarkTengo/Complex/Evaluate-2      	   10000	        33.22 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Complex/Evaluate-2      	   10000	        37.30 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Complex/Evaluate-2      	   10000	        32.17 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Complex/Evaluate-2      	   10000	        40.60 ns/op	      32 B/op	       1 allocs/op
BenchmarkTengo/Complex/Evaluate-2      	   10000	        38.42 ns/op	      32 B/op	       1 allocs/op
PASS
ok  	github.com/lkumarjain/benchmark-expression-evaluation	30.234s
