goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkConsumer/05KB/Sarama@ConsumePartition-8       	   10000	       366.5 ns/op	       1 B/op	       0 allocs/op
BenchmarkConsumer/05KB/Sarama@ConsumePartition-8       	   10000	      8493 ns/op	     609 B/op	       1 allocs/op
BenchmarkConsumer/05KB/Segmentio@ConsumerFetch-8       	   10000	      6836 ns/op	    6465 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Segmentio@ConsumerFetch-8       	   10000	      7791 ns/op	    6363 B/op	       4 allocs/op
BenchmarkConsumer/05KB/Segmentio@ConsumerFetch-8       	   10000	      7637 ns/op	    5879 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Segmentio@ConsumerFetch-8       	   10000	      6758 ns/op	    5749 B/op	       3 allocs/op
BenchmarkConsumer/05KB/Segmentio@ConsumerFetch-8       	   10000	      7543 ns/op	    5755 B/op	       3 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumePoll-8         	   10000	    148268 ns/op	   11205 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumePoll-8         	   10000	     82998 ns/op	   11205 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumePoll-8         	   10000	     86383 ns/op	   11205 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumePoll-8         	   10000	     83054 ns/op	   11204 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumePoll-8         	   10000	     81177 ns/op	   11205 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumeEvent-8        	   10000	     81907 ns/op	   11206 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumeEvent-8        	   10000	     84422 ns/op	   11214 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumeEvent-8        	   10000	     86440 ns/op	   11205 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumeEvent-8        	   10000	     83983 ns/op	   11208 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Confluent@ConsumeEvent-8        	   10000	     82376 ns/op	   11220 B/op	       8 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumeRecord-8           	   10000	     85836 ns/op	   11696 B/op	       5 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumeRecord-8           	   10000	     83142 ns/op	   11698 B/op	       5 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumeRecord-8           	   10000	     80968 ns/op	   11688 B/op	       5 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumeRecord-8           	   10000	     82164 ns/op	   11695 B/op	       5 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumeRecord-8           	   10000	     83920 ns/op	   11693 B/op	       5 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumePartition-8        	   10000	     76890 ns/op	   11663 B/op	       4 allocs/op
BenchmarkConsumer/10KB/Franz@ConsumePartition-8        	   10000	     84006 ns/op	   11650 B/op	       4 allocs/op
