goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafka-client
cpu: Intel(R) Core(TM) i7-7660U CPU @ 2.50GHz
BenchmarkProducer/5KB_-_Segmentio@ProduceSync         	   10000	  12651726 ns/op	   30229 B/op	      48 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceSync         	   10000	  12629023 ns/op	   30189 B/op	      48 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceSync         	   10000	  12546725 ns/op	   30261 B/op	      48 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceSync         	   10000	  12064688 ns/op	   30199 B/op	      47 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceAsync         	   10000	     36573 ns/op	   13013 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceAsync         	   10000	     19818 ns/op	   13216 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceAsync         	   10000	     27009 ns/op	   13037 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceAsync         	   10000	     31667 ns/op	   12771 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceAsync         	   10000	     30894 ns/op	   12680 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceSync        	   10000	   9231559 ns/op	   33570 B/op	      34 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceSync        	   10000	   9530721 ns/op	   33557 B/op	      34 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceSync        	   10000	  10249600 ns/op	   33517 B/op	      34 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceSync        	   10000	  10068623 ns/op	   33585 B/op	      35 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceSync        	   10000	   9623014 ns/op	   33548 B/op	      34 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceAsync        	   10000	     75711 ns/op	   33061 B/op	      19 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceAsync        	   10000	     70690 ns/op	   33069 B/op	      19 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceAsync        	   10000	     70001 ns/op	   33057 B/op	      19 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceAsync        	   10000	    101469 ns/op	   33057 B/op	      19 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceAsync        	   10000	     69034 ns/op	   33060 B/op	      19 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceSync            	   10000	   2032548 ns/op	   24297 B/op	      53 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceSync            	   10000	   2102081 ns/op	   24318 B/op	      53 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceSync            	   10000	   2092645 ns/op	   24284 B/op	      53 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceSync            	   10000	   2129280 ns/op	   24236 B/op	      53 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceSync            	   10000	   2122658 ns/op	   24261 B/op	      53 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceAsync            	   10000	     14712 ns/op	   26480 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceAsync            	   10000	     10069 ns/op	   26309 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceAsync            	   10000	     11265 ns/op	   25449 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceAsync            	   10000	     12484 ns/op	   24189 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceAsync            	   10000	     10452 ns/op	   25018 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceSync             	   10000	 107002668 ns/op	   53937 B/op	     113 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceSync             	   10000	 106876570 ns/op	   53962 B/op	     113 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceSync             	   10000	 107888259 ns/op	   53886 B/op	     113 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceSync             	   10000	 107330151 ns/op	   53892 B/op	     112 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceSync             	   10000	 106880705 ns/op	   53945 B/op	     113 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceAsync             	   10000	     18952 ns/op	   46583 B/op	      20 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceAsync             	   10000	     14251 ns/op	   46668 B/op	      20 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceAsync             	   10000	     13249 ns/op	   46691 B/op	      20 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceAsync             	   10000	     15571 ns/op	   46646 B/op	      20 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceAsync             	   10000	     11403 ns/op	   46666 B/op	      20 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceSync           	   10000	   2113258 ns/op	   47332 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceSync           	   10000	   2820331 ns/op	   47325 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceSync           	   10000	   3114189 ns/op	   47340 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceSync           	   10000	   2453028 ns/op	   47310 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceSync           	   10000	   2080478 ns/op	   47326 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceAsync           	   10000	     75430 ns/op	   43754 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceAsync           	   10000	     65661 ns/op	   43747 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceAsync           	   10000	     99600 ns/op	   43746 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceAsync           	   10000	     66109 ns/op	   43759 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceAsync           	   10000	     79368 ns/op	   43758 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceSync        	   10000	  12105881 ns/op	   41219 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceSync        	   10000	  12116679 ns/op	   41236 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceSync        	   10000	  12041273 ns/op	   41261 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceSync        	   10000	  12430865 ns/op	   41253 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceSync        	   10000	  12048478 ns/op	   41268 B/op	      48 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceAsync        	   10000	     70547 ns/op	   25628 B/op	      13 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceAsync        	   10000	     56728 ns/op	   24569 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceAsync        	   10000	     40775 ns/op	   24352 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceAsync        	   10000	     44254 ns/op	   25020 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Segmentio@ProduceAsync        	   10000	     67775 ns/op	   24762 B/op	      12 allocs/op
PASS
ok  	github.com/lkumarjain/benchmark/kafka-client	20083.539s
