goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkProducer/5KB_-_Franz@ProduceChannel-8      	    1000	     11023 ns/op	   14816 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Franz@ProduceChannel-8      	    1000	     10295 ns/op	   14134 B/op	       9 allocs/op
BenchmarkProducer/5KB_-_Goka@Produce-8              	    1000	 107414269 ns/op	   29487 B/op	     107 allocs/op
BenchmarkProducer/5KB_-_Goka@Produce-8              	    1000	 107477564 ns/op	   29602 B/op	     110 allocs/op
BenchmarkProducer/5KB_-_Goka@Produce-8              	    1000	 107258060 ns/op	   29417 B/op	     107 allocs/op
BenchmarkProducer/5KB_-_Goka@Produce-8              	    1000	 106931386 ns/op	   29627 B/op	     110 allocs/op
BenchmarkProducer/5KB_-_Goka@Produce-8              	    1000	 107294058 ns/op	   29615 B/op	     110 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceChannel-8       	    1000	     23273 ns/op	   24049 B/op	      22 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceChannel-8       	    1000	     21280 ns/op	   24080 B/op	      22 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceChannel-8       	    1000	     25305 ns/op	   23954 B/op	      22 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceChannel-8       	    1000	     28498 ns/op	   24198 B/op	      23 allocs/op
BenchmarkProducer/5KB_-_Goka@ProduceChannel-8       	    1000	     22172 ns/op	   24107 B/op	      22 allocs/op
BenchmarkProducer/5KB_-_Sarama@Produce-8            	    1000	   3559469 ns/op	   26274 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@Produce-8            	    1000	   3602604 ns/op	   26106 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@Produce-8            	    1000	   3531412 ns/op	   26086 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@Produce-8            	    1000	   3606535 ns/op	   26085 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@Produce-8            	    1000	   3541465 ns/op	   26080 B/op	      78 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceChannel-8     	    1000	     96158 ns/op	   22313 B/op	      13 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceChannel-8     	    1000	     52375 ns/op	   22096 B/op	      13 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceChannel-8     	    1000	     35846 ns/op	   22156 B/op	      14 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceChannel-8     	    1000	     38029 ns/op	   22250 B/op	      14 allocs/op
BenchmarkProducer/5KB_-_Sarama@ProduceChannel-8     	    1000	     36289 ns/op	   22200 B/op	      14 allocs/op
BenchmarkProducer/5KB_-_Segmentio@Produce-8         	    1000	  12111666 ns/op	   30477 B/op	      48 allocs/op
BenchmarkProducer/5KB_-_Segmentio@Produce-8         	    1000	  12195646 ns/op	   30448 B/op	      47 allocs/op
BenchmarkProducer/5KB_-_Segmentio@Produce-8         	    1000	  12181049 ns/op	   30469 B/op	      48 allocs/op
BenchmarkProducer/5KB_-_Segmentio@Produce-8         	    1000	  12173439 ns/op	   30435 B/op	      47 allocs/op
BenchmarkProducer/5KB_-_Segmentio@Produce-8         	    1000	  12147593 ns/op	   30338 B/op	      48 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceChannel-8  	    1000	    130484 ns/op	   13081 B/op	      15 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceChannel-8  	    1000	     43679 ns/op	   15427 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceChannel-8  	    1000	     16350 ns/op	   13115 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceChannel-8  	    1000	     29772 ns/op	   13448 B/op	      12 allocs/op
BenchmarkProducer/5KB_-_Segmentio@ProduceChannel-8  	    1000	     20392 ns/op	   13123 B/op	      12 allocs/op
BenchmarkProducer/10KB_-_Confluent@Produce-8        	    1000	  10031113 ns/op	   33482 B/op	      33 allocs/op
BenchmarkProducer/10KB_-_Confluent@Produce-8        	    1000	  10018623 ns/op	   33585 B/op	      33 allocs/op
BenchmarkProducer/10KB_-_Confluent@Produce-8        	    1000	  10074819 ns/op	   33796 B/op	      35 allocs/op
BenchmarkProducer/10KB_-_Confluent@Produce-8        	    1000	   9969484 ns/op	   33584 B/op	      33 allocs/op
BenchmarkProducer/10KB_-_Confluent@Produce-8        	    1000	  10110353 ns/op	   33731 B/op	      34 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceChannel-8 	    1000	    130837 ns/op	   33035 B/op	      18 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceChannel-8 	    1000	     71791 ns/op	   33045 B/op	      18 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceChannel-8 	    1000	     68499 ns/op	   33034 B/op	      18 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceChannel-8 	    1000	     77696 ns/op	   33045 B/op	      18 allocs/op
BenchmarkProducer/10KB_-_Confluent@ProduceChannel-8 	    1000	     70773 ns/op	   33045 B/op	      18 allocs/op
BenchmarkProducer/10KB_-_Franz@Produce-8            	    1000	    639206 ns/op	   24437 B/op	      52 allocs/op
BenchmarkProducer/10KB_-_Franz@Produce-8            	    1000	   1661762 ns/op	   24401 B/op	      52 allocs/op
BenchmarkProducer/10KB_-_Franz@Produce-8            	    1000	   3586391 ns/op	   24489 B/op	      53 allocs/op
BenchmarkProducer/10KB_-_Franz@Produce-8            	    1000	   3561181 ns/op	   24330 B/op	      52 allocs/op
BenchmarkProducer/10KB_-_Franz@Produce-8            	    1000	   3491079 ns/op	   24499 B/op	      53 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceChannel-8     	    1000	     39409 ns/op	   30045 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceChannel-8     	    1000	     40928 ns/op	   22124 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceChannel-8     	    1000	     26361 ns/op	   27480 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceChannel-8     	    1000	     27491 ns/op	   28837 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Franz@ProduceChannel-8     	    1000	     23087 ns/op	   28071 B/op	       9 allocs/op
BenchmarkProducer/10KB_-_Goka@Produce-8             	    1000	 107567125 ns/op	   54036 B/op	     110 allocs/op
BenchmarkProducer/10KB_-_Goka@Produce-8             	    1000	 107453462 ns/op	   54089 B/op	     112 allocs/op
BenchmarkProducer/10KB_-_Goka@Produce-8             	    1000	 107311182 ns/op	   54037 B/op	     111 allocs/op
BenchmarkProducer/10KB_-_Goka@Produce-8             	    1000	 107397319 ns/op	   54188 B/op	     113 allocs/op
BenchmarkProducer/10KB_-_Goka@Produce-8             	    1000	 107292600 ns/op	   54200 B/op	     113 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceChannel-8      	    1000	     33224 ns/op	   47397 B/op	      22 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceChannel-8      	    1000	     40449 ns/op	   47392 B/op	      22 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceChannel-8      	    1000	     33370 ns/op	   47341 B/op	      22 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceChannel-8      	    1000	     36113 ns/op	   47290 B/op	      22 allocs/op
BenchmarkProducer/10KB_-_Goka@ProduceChannel-8      	    1000	     30597 ns/op	   47301 B/op	      22 allocs/op
BenchmarkProducer/10KB_-_Sarama@Produce-8           	    1000	   3756854 ns/op	   47466 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@Produce-8           	    1000	   3853434 ns/op	   47359 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@Produce-8           	    1000	   3696990 ns/op	   47358 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@Produce-8           	    1000	   3722618 ns/op	   47440 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@Produce-8           	    1000	   3838195 ns/op	   47359 B/op	      78 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceChannel-8    	    1000	    128499 ns/op	   44061 B/op	      13 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceChannel-8    	    1000	     78714 ns/op	   43932 B/op	      13 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceChannel-8    	    1000	     68013 ns/op	   43937 B/op	      13 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceChannel-8    	    1000	     72139 ns/op	   43958 B/op	      13 allocs/op
BenchmarkProducer/10KB_-_Sarama@ProduceChannel-8    	    1000	     67785 ns/op	   43990 B/op	      13 allocs/op
BenchmarkProducer/10KB_-_Segmentio@Produce-8        	    1000	  12147217 ns/op	   41607 B/op	      48 allocs/op
