goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/kafkaclient
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkProducer/05KB/Goka@ProduceSync-8              	   10000	 103782910 ns/op	   30237 B/op	     117 allocs/op
BenchmarkProducer/05KB/Goka@ProduceAsync-8             	   10000	     18669 ns/op	   24251 B/op	      26 allocs/op
BenchmarkProducer/05KB/Goka@ProduceAsync-8             	   10000	      8367 ns/op	   24253 B/op	      26 allocs/op
BenchmarkProducer/05KB/Goka@ProduceAsync-8             	   10000	     18166 ns/op	   24365 B/op	      27 allocs/op
BenchmarkProducer/05KB/Goka@ProduceAsync-8             	   10000	     18206 ns/op	   24353 B/op	      27 allocs/op
BenchmarkProducer/05KB/Goka@ProduceAsync-8             	   10000	     17985 ns/op	   24269 B/op	      26 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceSync-8            	   10000	   3394457 ns/op	   26284 B/op	      80 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceSync-8            	   10000	   3356248 ns/op	   26187 B/op	      79 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceSync-8            	   10000	   3354422 ns/op	   26153 B/op	      79 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceSync-8            	   10000	   3354559 ns/op	   26185 B/op	      79 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceSync-8            	   10000	   3346702 ns/op	   26154 B/op	      79 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceAsync-8           	   10000	     21135 ns/op	   22085 B/op	      13 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceAsync-8           	   10000	      8098 ns/op	   22224 B/op	      14 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceAsync-8           	   10000	      8552 ns/op	   22219 B/op	      14 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceAsync-8           	   10000	      9410 ns/op	   22279 B/op	      14 allocs/op
BenchmarkProducer/05KB/Sarama@ProduceAsync-8           	   10000	      9520 ns/op	   22186 B/op	      14 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceSync-8         	   10000	  10257494 ns/op	   30501 B/op	      49 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceSync-8         	   10000	  10252861 ns/op	   30481 B/op	      49 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceSync-8         	   10000	  10246972 ns/op	   30541 B/op	      49 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceSync-8         	   10000	  10250155 ns/op	   30420 B/op	      49 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceSync-8         	   10000	  10249542 ns/op	   30420 B/op	      49 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceAsync-8        	   10000	     15721 ns/op	   12439 B/op	      13 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceAsync-8        	   10000	      5661 ns/op	   11948 B/op	      12 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceAsync-8        	   10000	      6630 ns/op	   11911 B/op	      12 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceAsync-8        	   10000	      5621 ns/op	   11819 B/op	      12 allocs/op
BenchmarkProducer/05KB/Segmentio@ProduceAsync-8        	   10000	      5588 ns/op	   11767 B/op	      12 allocs/op
