goos: darwin
goarch: arm64
pkg: github.com/lkumarjain/benchmark/kafka-client
BenchmarkConsumer/5KB_-_Sarama@ConsumerGroup-8          	  100000	       233.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumerGroup-8          	  100000	       255.7 ns/op	      94 B/op	       0 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumePartition-8       	  100000	     55759 ns/op	    6677 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumePartition-8       	  100000	     50787 ns/op	    6348 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumePartition-8       	  100000	     56027 ns/op	    6699 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumePartition-8       	  100000	     50995 ns/op	    6350 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Sarama@ConsumePartition-8       	  100000	     51591 ns/op	    6699 B/op	       1 allocs/op
BenchmarkConsumer/5KB_-_Segmentio@ConsumerFetch-8       	  100000	     36270 ns/op	    6509 B/op	       3 allocs/op
BenchmarkConsumer/5KB_-_Segmentio@ConsumerFetch-8       	  100000	     34589 ns/op	    6464 B/op	       3 allocs/op
BenchmarkConsumer/5KB_-_Segmentio@ConsumerFetch-8       	  100000	     37345 ns/op	    6535 B/op	       3 allocs/op
BenchmarkConsumer/5KB_-_Segmentio@ConsumerFetch-8       	  100000	     34690 ns/op	    6438 B/op	       3 allocs/op
BenchmarkConsumer/5KB_-_Segmentio@ConsumerFetch-8       	  100000	     35162 ns/op	    6488 B/op	       3 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumePoll-8        	  100000	     96531 ns/op	   11208 B/op	       9 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumePoll-8        	  100000	     93699 ns/op	   11208 B/op	       9 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumePoll-8        	  100000	     92419 ns/op	   11208 B/op	       9 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumePoll-8        	  100000	     93598 ns/op	   11208 B/op	       9 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumePoll-8        	  100000	     91395 ns/op	   11208 B/op	       9 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumeEvent-8       	  100000	     96081 ns/op	   11182 B/op	       8 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumeEvent-8       	  100000	     94772 ns/op	   11154 B/op	       8 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumeEvent-8       	  100000	     94838 ns/op	   11101 B/op	       8 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumeEvent-8       	  100000	    100829 ns/op	   11089 B/op	       8 allocs/op
BenchmarkConsumer/10KB_-_Confluent@ConsumeEvent-8       	  100000	     89890 ns/op	   11092 B/op	       8 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumeRecord-8          	  100000	     94312 ns/op	   12058 B/op	       2 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumeRecord-8          	  100000	     92439 ns/op	   12068 B/op	       2 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumeRecord-8          	  100000	     97570 ns/op	   12068 B/op	       2 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumeRecord-8          	  100000	     92934 ns/op	   12067 B/op	       2 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumeRecord-8          	  100000	     95373 ns/op	   12067 B/op	       2 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumePartition-8       	  100000	     93811 ns/op	   12034 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumePartition-8       	  100000	     99697 ns/op	   12044 B/op	       1 allocs/op
BenchmarkConsumer/10KB_-_Franz@ConsumePartition-8       	  100000	     93999 ns/op	   12044 B/op	       1 allocs/op
