goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-in-memory-cache
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkCache2Go/10KB/Set-2            	  100000	      7542 ns/op	   11127 B/op	       9 allocs/op
BenchmarkCache2Go/10KB/Set-2            	  100000	      2689 ns/op	   11127 B/op	       9 allocs/op
BenchmarkCache2Go/10KB/Set-2            	  100000	      3663 ns/op	   11127 B/op	       9 allocs/op
BenchmarkCache2Go/10KB/Set-2            	  100000	      2813 ns/op	   11128 B/op	       9 allocs/op
BenchmarkCache2Go/10KB/Get-2            	  100000	       323.0 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Get-2            	  100000	       347.8 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Get-2            	  100000	       421.9 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Get-2            	  100000	       302.6 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Get-2            	  100000	       302.1 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Remove-2         	  100000	       376.2 ns/op	      95 B/op	       5 allocs/op
BenchmarkCache2Go/10KB/Remove-2         	  100000	       159.6 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Remove-2         	  100000	       168.4 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Remove-2         	  100000	       167.2 ns/op	      55 B/op	       3 allocs/op
BenchmarkCache2Go/10KB/Remove-2         	  100000	       205.5 ns/op	      55 B/op	       3 allocs/op
BenchmarkFastCache/01KB/Set-2           	  100000	      1892 ns/op	    1324 B/op	       5 allocs/op
BenchmarkFastCache/01KB/Set-2           	  100000	      1701 ns/op	    1335 B/op	       5 allocs/op
BenchmarkFastCache/01KB/Set-2           	  100000	      1617 ns/op	    1339 B/op	       5 allocs/op
BenchmarkFastCache/01KB/Set-2           	  100000	      1600 ns/op	    1337 B/op	       5 allocs/op
BenchmarkFastCache/01KB/Set-2           	  100000	      1846 ns/op	    1337 B/op	       5 allocs/op
BenchmarkFastCache/01KB/Get-2           	  100000	       581.5 ns/op	     399 B/op	       3 allocs/op
BenchmarkFastCache/01KB/Get-2           	  100000	       665.7 ns/op	     399 B/op	       3 allocs/op
BenchmarkFastCache/01KB/Get-2           	  100000	       829.7 ns/op	     399 B/op	       3 allocs/op
BenchmarkFastCache/01KB/Get-2           	  100000	       641.5 ns/op	     399 B/op	       3 allocs/op
BenchmarkFastCache/01KB/Get-2           	  100000	       648.4 ns/op	     399 B/op	       3 allocs/op
BenchmarkFastCache/01KB/Remove-2        	  100000	       219.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/01KB/Remove-2        	  100000	       189.5 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/01KB/Remove-2        	  100000	       192.6 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/01KB/Remove-2        	  100000	       227.9 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/01KB/Remove-2        	  100000	       186.2 ns/op	      39 B/op	       2 allocs/op
BenchmarkFastCache/05KB/Set-2           	  100000	     14315 ns/op	    5512 B/op	       5 allocs/op
BenchmarkFastCache/05KB/Set-2           	  100000	      6721 ns/op	    5513 B/op	       5 allocs/op
BenchmarkFastCache/05KB/Set-2           	  100000	      6962 ns/op	    5514 B/op	       5 allocs/op
BenchmarkFastCache/05KB/Set-2           	  100000	      6460 ns/op	    5513 B/op	       5 allocs/op
BenchmarkFastCache/05KB/Set-2           	  100000	      6107 ns/op	    5514 B/op	       5 allocs/op
BenchmarkFastCache/05KB/Get-2           	  100000	       707.1 ns/op	     370 B/op	       3 allocs/op
BenchmarkFastCache/05KB/Get-2           	  100000	       646.6 ns/op	     370 B/op	       3 allocs/op
BenchmarkFastCache/05KB/Get-2           	  100000	       558.7 ns/op	     370 B/op	       3 allocs/op
