goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark-json
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkSonic/01KB/Interface@Unmarshal-2         	  100000	      6093 ns/op	    5500 B/op	      71 allocs/op
BenchmarkSonic/01KB/Interface@Unmarshal-2         	  100000	      5937 ns/op	    5499 B/op	      71 allocs/op
BenchmarkSonic/01KB/Interface@Unmarshal-2         	  100000	      5759 ns/op	    5497 B/op	      71 allocs/op
BenchmarkSonic/01KB/Interface@Unmarshal-2         	  100000	      9122 ns/op	    5504 B/op	      71 allocs/op
BenchmarkSonic/05KB/Struct@Decode-2               	  100000	     10912 ns/op	    9265 B/op	       7 allocs/op
BenchmarkSonic/05KB/Struct@Decode-2               	  100000	      8075 ns/op	    9268 B/op	       7 allocs/op
BenchmarkSonic/05KB/Struct@Decode-2               	  100000	      7579 ns/op	    9237 B/op	       7 allocs/op
BenchmarkSonic/05KB/Struct@Decode-2               	  100000	      7706 ns/op	    9263 B/op	       7 allocs/op
BenchmarkSonic/05KB/Struct@Decode-2               	  100000	      7549 ns/op	    9261 B/op	       7 allocs/op
BenchmarkSonic/05KB/Struct@Unmarshal-2            	  100000	     12051 ns/op	    8946 B/op	       4 allocs/op
BenchmarkSonic/05KB/Struct@Unmarshal-2            	  100000	     10984 ns/op	    8961 B/op	       4 allocs/op
BenchmarkSonic/05KB/Struct@Unmarshal-2            	  100000	     11693 ns/op	    8946 B/op	       4 allocs/op
BenchmarkSonic/05KB/Struct@Unmarshal-2            	  100000	     11387 ns/op	    8951 B/op	       4 allocs/op
BenchmarkSonic/05KB/Struct@Unmarshal-2            	  100000	     11589 ns/op	    8941 B/op	       4 allocs/op
BenchmarkSonic/05KB/Interface@Decode-2            	  100000	     28875 ns/op	   26172 B/op	     345 allocs/op
BenchmarkSonic/05KB/Interface@Decode-2            	  100000	     28611 ns/op	   26189 B/op	     345 allocs/op
BenchmarkSonic/05KB/Interface@Decode-2            	  100000	     28315 ns/op	   26187 B/op	     345 allocs/op
BenchmarkSonic/05KB/Interface@Decode-2            	  100000	     28234 ns/op	   26164 B/op	     345 allocs/op
BenchmarkSonic/05KB/Interface@Decode-2            	  100000	     28687 ns/op	   26175 B/op	     345 allocs/op
BenchmarkSonic/05KB/Interface@Unmarshal-2         	  100000	     26705 ns/op	   24017 B/op	     337 allocs/op
BenchmarkSonic/05KB/Interface@Unmarshal-2         	  100000	     26896 ns/op	   24004 B/op	     337 allocs/op
BenchmarkSonic/05KB/Interface@Unmarshal-2         	  100000	     26061 ns/op	   24014 B/op	     337 allocs/op
BenchmarkSonic/05KB/Interface@Unmarshal-2         	  100000	     26092 ns/op	   24014 B/op	     337 allocs/op
BenchmarkSonic/05KB/Interface@Unmarshal-2         	  100000	     26590 ns/op	   24014 B/op	     337 allocs/op
BenchmarkSonic/10KB/Struct@Decode-2               	  100000	     14495 ns/op	   17522 B/op	       7 allocs/op
BenchmarkSonic/10KB/Struct@Decode-2               	  100000	     14616 ns/op	   17546 B/op	       7 allocs/op
BenchmarkSonic/10KB/Struct@Decode-2               	  100000	     14400 ns/op	   17537 B/op	       7 allocs/op
BenchmarkSonic/10KB/Struct@Decode-2               	  100000	     16156 ns/op	   17543 B/op	       7 allocs/op
BenchmarkSonic/10KB/Struct@Decode-2               	  100000	     16967 ns/op	   17542 B/op	       7 allocs/op
BenchmarkSonic/10KB/Struct@Unmarshal-2            	  100000	     28542 ns/op	   17175 B/op	       4 allocs/op
BenchmarkSonic/10KB/Struct@Unmarshal-2            	  100000	     27002 ns/op	   17177 B/op	       4 allocs/op
BenchmarkSonic/10KB/Struct@Unmarshal-2            	  100000	     24840 ns/op	   17171 B/op	       4 allocs/op
BenchmarkSonic/10KB/Struct@Unmarshal-2            	  100000	     27397 ns/op	   17190 B/op	       4 allocs/op
BenchmarkSonic/10KB/Struct@Unmarshal-2            	  100000	     24526 ns/op	   17186 B/op	       4 allocs/op
BenchmarkSonic/10KB/Interface@Decode-2            	  100000	     86400 ns/op	   52555 B/op	     682 allocs/op
BenchmarkSonic/10KB/Interface@Decode-2            	  100000	     66268 ns/op	   52528 B/op	     682 allocs/op
BenchmarkSonic/10KB/Interface@Decode-2            	  100000	     68572 ns/op	   52544 B/op	     682 allocs/op
BenchmarkSonic/10KB/Interface@Decode-2            	  100000	     83451 ns/op	   52522 B/op	     682 allocs/op
BenchmarkSonic/10KB/Interface@Decode-2            	  100000	     73917 ns/op	   52536 B/op	     682 allocs/op
BenchmarkSonic/10KB/Interface@Unmarshal-2         	  100000	     70838 ns/op	   48022 B/op	     673 allocs/op
BenchmarkSonic/10KB/Interface@Unmarshal-2         	  100000	     97466 ns/op	   48015 B/op	     673 allocs/op
BenchmarkSonic/10KB/Interface@Unmarshal-2         	  100000	     69441 ns/op	   48019 B/op	     673 allocs/op
BenchmarkSonic/10KB/Interface@Unmarshal-2         	  100000	     77335 ns/op	   48026 B/op	     673 allocs/op
BenchmarkSonic/10KB/Interface@Unmarshal-2         	  100000	     87804 ns/op	   48030 B/op	     673 allocs/op
BenchmarkStdLib/01KB/Struct@Decode-2              	  100000	     14729 ns/op	    3856 B/op	      12 allocs/op
BenchmarkStdLib/01KB/Struct@Decode-2              	  100000	      8510 ns/op	    3856 B/op	      12 allocs/op
BenchmarkStdLib/01KB/Struct@Decode-2              	  100000	      9954 ns/op	    3856 B/op	      12 allocs/op
BenchmarkStdLib/01KB/Struct@Decode-2              	  100000	     11070 ns/op	    3856 B/op	      12 allocs/op
BenchmarkStdLib/01KB/Struct@Decode-2              	  100000	     18272 ns/op	    3856 B/op	      12 allocs/op
BenchmarkStdLib/01KB/Struct@Unmarshal-2           	  100000	     32614 ns/op	    1872 B/op	      44 allocs/op
BenchmarkStdLib/01KB/Struct@Unmarshal-2           	  100000	     24802 ns/op	    1872 B/op	      44 allocs/op
BenchmarkStdLib/01KB/Struct@Unmarshal-2           	  100000	     20634 ns/op	    1872 B/op	      44 allocs/op
BenchmarkStdLib/01KB/Struct@Unmarshal-2           	  100000	     17296 ns/op	    1872 B/op	      44 allocs/op
BenchmarkStdLib/01KB/Struct@Unmarshal-2           	  100000	     19999 ns/op	    1872 B/op	      44 allocs/op
BenchmarkStdLib/01KB/Interface@Decode-2           	  100000	     18353 ns/op	    8096 B/op	     170 allocs/op
BenchmarkStdLib/01KB/Interface@Decode-2           	  100000	     30027 ns/op	    8096 B/op	     170 allocs/op
BenchmarkStdLib/01KB/Interface@Decode-2           	  100000	     19221 ns/op	    8096 B/op	     170 allocs/op
